INSERT INTO MedicalEquipment VALUES (1, 'X-Ray', 947555.05);
INSERT INTO MedicalEquipment VALUES (365, 'Scalpel', 1332449.66);
INSERT INTO MedicalEquipment VALUES (366, 'Pacemaker', 507712.1);
INSERT INTO MedicalEquipment VALUES (367, 'Forceps', 1423720.59);
INSERT INTO MedicalEquipment VALUES (368, 'Scalpel', 1974616.7);
INSERT INTO MedicalEquipment VALUES (369, 'MRI Machine', 576957.31);
INSERT INTO MedicalEquipment VALUES (370, 'Hospital Bed', 968505.55);
INSERT INTO MedicalEquipment VALUES (371, 'Stethoscope', 723505.27);
INSERT INTO MedicalEquipment VALUES (372, 'Defibrillator', 1253431.39);
INSERT INTO MedicalEquipment VALUES (373, 'Lift', 63291.67);
INSERT INTO MedicalEquipment VALUES (374, 'Defibrillator', 1836704.1);
INSERT INTO MedicalEquipment VALUES (375, 'X-Ray', 113282.61);
INSERT INTO MedicalEquipment VALUES (376, 'MRI Machine', 1369731.54);
INSERT INTO MedicalEquipment VALUES (377, 'Forceps', 1577707.69);
INSERT INTO MedicalEquipment VALUES (378, 'Heart Rate Monitor', 1258366.3);
INSERT INTO MedicalEquipment VALUES (379, 'Wheelchair', 567240.33);
INSERT INTO MedicalEquipment VALUES (380, 'Wheelchair', 1973676.77);
INSERT INTO MedicalEquipment VALUES (381, 'Wheelchair', 1729965.29);
INSERT INTO MedicalEquipment VALUES (382, 'Heart Rate Monitor', 1716971.16);
INSERT INTO MedicalEquipment VALUES (383, 'Defibrillator', 1468418.93);
INSERT INTO MedicalEquipment VALUES (384, 'Stethoscope', 1669999.3);
INSERT INTO MedicalEquipment VALUES (385, 'Pacemaker', 219322.67);
INSERT INTO MedicalEquipment VALUES (386, 'Lift', 1382428.34);
INSERT INTO MedicalEquipment VALUES (387, 'Pacemaker', 942889.42);
INSERT INTO MedicalEquipment VALUES (388, 'Stethoscope', 21831.99);
INSERT INTO MedicalEquipment VALUES (389, 'Hospital Bed', 678264.52);
INSERT INTO MedicalEquipment VALUES (390, 'Heart Rate Monitor', 134328.66);
INSERT INTO MedicalEquipment VALUES (391, 'Pacemaker', 1000577.93);
INSERT INTO MedicalEquipment VALUES (392, 'X-Ray', 1907402.29);
INSERT INTO MedicalEquipment VALUES (393, 'Pacemaker', 217755.83);
INSERT INTO MedicalEquipment VALUES (394, 'Pacemaker', 1644216.71);
INSERT INTO MedicalEquipment VALUES (395, 'Hospital Bed', 1444048.47);
INSERT INTO MedicalEquipment VALUES (396, 'Defibrillator', 990580.47);
INSERT INTO MedicalEquipment VALUES (397, 'Pacemaker', 610422.46);
INSERT INTO MedicalEquipment VALUES (398, 'Surgical Table', 1418818.12);
INSERT INTO MedicalEquipment VALUES (399, 'MRI Machine', 1850492.43);
INSERT INTO MedicalEquipment VALUES (400, 'Wheelchair', 1360984.44);
INSERT INTO MedicalEquipment VALUES (401, 'X-Ray', 428696.85);
INSERT INTO MedicalEquipment VALUES (402, 'X-Ray', 1283703.48);
INSERT INTO MedicalEquipment VALUES (403, 'Surgical Table', 841880.62);
INSERT INTO MedicalEquipment VALUES (404, 'Hospital Bed', 1767402.64);
INSERT INTO MedicalEquipment VALUES (405, 'X-Ray', 1390719.83);
INSERT INTO MedicalEquipment VALUES (406, 'X-Ray', 1433918.17);
INSERT INTO MedicalEquipment VALUES (407, 'Wheelchair', 328012.79);
INSERT INTO MedicalEquipment VALUES (408, 'Pacemaker', 1285404.25);
INSERT INTO MedicalEquipment VALUES (409, 'Stethoscope', 1671771.26);
INSERT INTO MedicalEquipment VALUES (410, 'Defibrillator', 1879147.87);
INSERT INTO MedicalEquipment VALUES (411, 'Defibrillator', 1441452.3);
INSERT INTO MedicalEquipment VALUES (412, 'MRI Machine', 750558.9);
INSERT INTO MedicalEquipment VALUES (413, 'Stethoscope', 898.68);
INSERT INTO MedicalEquipment VALUES (414, 'Defibrillator', 1880732.15);
INSERT INTO MedicalEquipment VALUES (415, 'Pacemaker', 477954.75);
INSERT INTO MedicalEquipment VALUES (416, 'Hospital Bed', 836189.62);
INSERT INTO MedicalEquipment VALUES (417, 'Stethoscope', 991037.6);
INSERT INTO MedicalEquipment VALUES (418, 'Defibrillator', 807172.3);
INSERT INTO MedicalEquipment VALUES (419, 'Wheelchair', 1313797.83);
INSERT INTO MedicalEquipment VALUES (420, 'Hospital Bed', 1265729.76);
INSERT INTO MedicalEquipment VALUES (421, 'Wheelchair', 340959.13);
INSERT INTO MedicalEquipment VALUES (422, 'Heart Rate Monitor', 727515.26);
INSERT INTO MedicalEquipment VALUES (423, 'Lift', 1495082.89);
INSERT INTO MedicalEquipment VALUES (424, 'Surgical Table', 323849.22);
INSERT INTO MedicalEquipment VALUES (425, 'Pacemaker', 295746.75);
INSERT INTO MedicalEquipment VALUES (426, 'Wheelchair', 17624.71);
INSERT INTO MedicalEquipment VALUES (427, 'Stethoscope', 472721.33);
INSERT INTO MedicalEquipment VALUES (428, 'X-Ray', 1566456.62);
INSERT INTO MedicalEquipment VALUES (429, 'Stethoscope', 1072191.5);
INSERT INTO MedicalEquipment VALUES (430, 'Forceps', 270277.95);
INSERT INTO MedicalEquipment VALUES (431, 'Lift', 306426.85);
INSERT INTO MedicalEquipment VALUES (432, 'Heart Rate Monitor', 1430172.27);
INSERT INTO MedicalEquipment VALUES (433, 'Heart Rate Monitor', 828103.91);
INSERT INTO MedicalEquipment VALUES (434, 'Defibrillator', 1882451.38);
INSERT INTO MedicalEquipment VALUES (435, 'Surgical Table', 1567619.56);
INSERT INTO MedicalEquipment VALUES (436, 'Hospital Bed', 1299701.83);
INSERT INTO MedicalEquipment VALUES (437, 'Pacemaker', 1195772.06);
INSERT INTO MedicalEquipment VALUES (438, 'Stethoscope', 833878.13);
INSERT INTO MedicalEquipment VALUES (439, 'Wheelchair', 141700.93);
INSERT INTO MedicalEquipment VALUES (440, 'Pacemaker', 519722.22);
INSERT INTO MedicalEquipment VALUES (441, 'X-Ray', 1402448.71);
INSERT INTO MedicalEquipment VALUES (442, 'Hospital Bed', 375979.88);
INSERT INTO MedicalEquipment VALUES (443, 'Lift', 162885.54);
INSERT INTO MedicalEquipment VALUES (444, 'Surgical Table', 820521.0);
INSERT INTO MedicalEquipment VALUES (445, 'Pacemaker', 1563324.73);
INSERT INTO MedicalEquipment VALUES (446, 'Stethoscope', 620388.61);
INSERT INTO MedicalEquipment VALUES (447, 'Forceps', 413374.74);
INSERT INTO MedicalEquipment VALUES (448, 'MRI Machine', 1678004.86);
INSERT INTO MedicalEquipment VALUES (449, 'Heart Rate Monitor', 861143.11);
INSERT INTO MedicalEquipment VALUES (450, 'Scalpel', 342786.84);
INSERT INTO MedicalEquipment VALUES (451, 'Wheelchair', 172425.97);
INSERT INTO MedicalEquipment VALUES (452, 'Heart Rate Monitor', 238316.34);
INSERT INTO MedicalEquipment VALUES (453, 'Defibrillator', 1014826.68);
INSERT INTO MedicalEquipment VALUES (454, 'Defibrillator', 712602.55);
INSERT INTO MedicalEquipment VALUES (455, 'Defibrillator', 1725015.16);
INSERT INTO MedicalEquipment VALUES (456, 'Wheelchair', 611567.45);
INSERT INTO MedicalEquipment VALUES (457, 'Heart Rate Monitor', 1692632.73);
INSERT INTO MedicalEquipment VALUES (458, 'Heart Rate Monitor', 114200.36);
INSERT INTO MedicalEquipment VALUES (459, 'X-Ray', 522302.26);
INSERT INTO MedicalEquipment VALUES (460, 'Wheelchair', 1577313.92);
INSERT INTO MedicalEquipment VALUES (461, 'Defibrillator', 338510.55);
INSERT INTO MedicalEquipment VALUES (462, 'MRI Machine', 741213.8);
INSERT INTO MedicalEquipment VALUES (463, 'MRI Machine', 329496.99);
INSERT INTO MedicalEquipment VALUES (464, 'Lift', 1039759.0);
INSERT INTO MedicalEquipment VALUES (465, 'Surgical Table', 257721.86);
INSERT INTO MedicalEquipment VALUES (466, 'Surgical Table', 1228061.02);
INSERT INTO MedicalEquipment VALUES (467, 'Forceps', 1609378.47);
INSERT INTO MedicalEquipment VALUES (468, 'Forceps', 1934683.58);
INSERT INTO MedicalEquipment VALUES (469, 'Lift', 1748690.83);
INSERT INTO MedicalEquipment VALUES (470, 'X-Ray', 1222683.89);
INSERT INTO MedicalEquipment VALUES (471, 'Stethoscope', 855953.18);
INSERT INTO MedicalEquipment VALUES (472, 'Lift', 1714058.13);
INSERT INTO MedicalEquipment VALUES (473, 'Wheelchair', 1567477.11);
INSERT INTO MedicalEquipment VALUES (474, 'Stethoscope', 1511741.93);
INSERT INTO MedicalEquipment VALUES (475, 'Forceps', 627835.72);
INSERT INTO MedicalEquipment VALUES (476, 'Pacemaker', 17994.78);
INSERT INTO MedicalEquipment VALUES (477, 'Surgical Table', 77017.43);
INSERT INTO MedicalEquipment VALUES (478, 'Pacemaker', 1076183.48);
INSERT INTO MedicalEquipment VALUES (479, 'Heart Rate Monitor', 628111.7);
INSERT INTO MedicalEquipment VALUES (480, 'Forceps', 695448.82);
INSERT INTO MedicalEquipment VALUES (481, 'MRI Machine', 1060950.19);
INSERT INTO MedicalEquipment VALUES (482, 'Wheelchair', 284801.92);
INSERT INTO MedicalEquipment VALUES (483, 'Forceps', 1332586.42);
INSERT INTO MedicalEquipment VALUES (484, 'Surgical Table', 945576.53);
INSERT INTO MedicalEquipment VALUES (485, 'MRI Machine', 370734.08);
INSERT INTO MedicalEquipment VALUES (486, 'Lift', 1326869.59);
INSERT INTO MedicalEquipment VALUES (487, 'Hospital Bed', 1391539.87);
INSERT INTO MedicalEquipment VALUES (488, 'Wheelchair', 23500.51);
INSERT INTO MedicalEquipment VALUES (489, 'MRI Machine', 324684.92);
INSERT INTO MedicalEquipment VALUES (490, 'X-Ray', 939821.29);
INSERT INTO MedicalEquipment VALUES (491, 'Defibrillator', 311798.27);
INSERT INTO MedicalEquipment VALUES (492, 'Forceps', 693525.16);
INSERT INTO MedicalEquipment VALUES (493, 'MRI Machine', 1096293.93);
INSERT INTO MedicalEquipment VALUES (494, 'MRI Machine', 504036.6);
INSERT INTO MedicalEquipment VALUES (495, 'Hospital Bed', 772493.17);
INSERT INTO MedicalEquipment VALUES (496, 'Surgical Table', 410482.95);
INSERT INTO MedicalEquipment VALUES (497, 'X-Ray', 202148.83);
INSERT INTO MedicalEquipment VALUES (498, 'Lift', 659745.57);
INSERT INTO MedicalEquipment VALUES (499, 'Lift', 336310.7);
INSERT INTO MedicalEquipment VALUES (500, 'X-Ray', 69677.66);
INSERT INTO MedicalEquipment VALUES (501, 'X-Ray', 640760.9);
INSERT INTO MedicalEquipment VALUES (502, 'Heart Rate Monitor', 1740951.89);
INSERT INTO MedicalEquipment VALUES (503, 'MRI Machine', 286839.96);
INSERT INTO MedicalEquipment VALUES (504, 'Defibrillator', 92621.7);
INSERT INTO MedicalEquipment VALUES (505, 'Surgical Table', 1236904.37);
INSERT INTO MedicalEquipment VALUES (506, 'Lift', 1527835.85);
INSERT INTO MedicalEquipment VALUES (507, 'Stethoscope', 1858704.13);
INSERT INTO MedicalEquipment VALUES (508, 'X-Ray', 599744.83);
INSERT INTO MedicalEquipment VALUES (509, 'Lift', 1307598.42);
INSERT INTO MedicalEquipment VALUES (510, 'Heart Rate Monitor', 85765.01);
INSERT INTO MedicalEquipment VALUES (511, 'Pacemaker', 1220808.11);
INSERT INTO MedicalEquipment VALUES (512, 'Defibrillator', 471175.66);
INSERT INTO MedicalEquipment VALUES (513, 'Surgical Table', 1895310.16);
INSERT INTO MedicalEquipment VALUES (514, 'MRI Machine', 1790101.05);
INSERT INTO MedicalEquipment VALUES (515, 'Forceps', 230954.75);
INSERT INTO MedicalEquipment VALUES (516, 'X-Ray', 1207471.74);
INSERT INTO MedicalEquipment VALUES (517, 'MRI Machine', 1502624.45);
INSERT INTO MedicalEquipment VALUES (518, 'Stethoscope', 1028750.41);
INSERT INTO MedicalEquipment VALUES (519, 'Pacemaker', 203275.66);
INSERT INTO MedicalEquipment VALUES (520, 'Heart Rate Monitor', 1676991.49);
INSERT INTO MedicalEquipment VALUES (521, 'Scalpel', 1513717.59);
INSERT INTO MedicalEquipment VALUES (522, 'Lift', 526361.44);
INSERT INTO MedicalEquipment VALUES (523, 'Scalpel', 710384.93);
INSERT INTO MedicalEquipment VALUES (524, 'Surgical Table', 1071369.37);
INSERT INTO MedicalEquipment VALUES (525, 'Defibrillator', 1304184.5);
INSERT INTO MedicalEquipment VALUES (526, 'Pacemaker', 1757122.79);
INSERT INTO MedicalEquipment VALUES (527, 'Scalpel', 789101.57);
INSERT INTO MedicalEquipment VALUES (528, 'Forceps', 1690667.03);
INSERT INTO MedicalEquipment VALUES (529, 'Lift', 1415802.39);
INSERT INTO MedicalEquipment VALUES (530, 'MRI Machine', 1488468.04);
INSERT INTO MedicalEquipment VALUES (531, 'X-Ray', 1826692.34);
INSERT INTO MedicalEquipment VALUES (532, 'X-Ray', 541235.62);
INSERT INTO MedicalEquipment VALUES (533, 'Pacemaker', 1113871.15);
INSERT INTO MedicalEquipment VALUES (534, 'Surgical Table', 1141935.54);
INSERT INTO MedicalEquipment VALUES (535, 'X-Ray', 1875768.29);
INSERT INTO MedicalEquipment VALUES (536, 'X-Ray', 1151028.37);
INSERT INTO MedicalEquipment VALUES (537, 'Surgical Table', 145547.66);
INSERT INTO MedicalEquipment VALUES (538, 'Defibrillator', 364277.56);
INSERT INTO MedicalEquipment VALUES (539, 'X-Ray', 177717.48);
INSERT INTO MedicalEquipment VALUES (540, 'Wheelchair', 497259.17);
INSERT INTO MedicalEquipment VALUES (541, 'Lift', 1582692.38);
INSERT INTO MedicalEquipment VALUES (542, 'Scalpel', 966750.69);
INSERT INTO MedicalEquipment VALUES (543, 'Heart Rate Monitor', 271782.34);
INSERT INTO MedicalEquipment VALUES (544, 'Pacemaker', 485402.14);
INSERT INTO MedicalEquipment VALUES (545, 'MRI Machine', 1260266.99);
INSERT INTO MedicalEquipment VALUES (546, 'MRI Machine', 222957.45);
INSERT INTO MedicalEquipment VALUES (547, 'Defibrillator', 225082.81);
INSERT INTO MedicalEquipment VALUES (548, 'Hospital Bed', 1034474.2);
INSERT INTO MedicalEquipment VALUES (549, 'Wheelchair', 1508166.42);
INSERT INTO MedicalEquipment VALUES (550, 'Surgical Table', 1405741.56);
INSERT INTO MedicalEquipment VALUES (551, 'Stethoscope', 1237454.9);
INSERT INTO MedicalEquipment VALUES (552, 'Hospital Bed', 493939.05);
INSERT INTO MedicalEquipment VALUES (553, 'Surgical Table', 630634.19);
INSERT INTO MedicalEquipment VALUES (554, 'MRI Machine', 402170.55);
INSERT INTO MedicalEquipment VALUES (555, 'MRI Machine', 1161413.53);
INSERT INTO MedicalEquipment VALUES (556, 'Pacemaker', 855309.92);
INSERT INTO MedicalEquipment VALUES (557, 'Surgical Table', 897296.27);
INSERT INTO MedicalEquipment VALUES (558, 'X-Ray', 258565.74);
INSERT INTO MedicalEquipment VALUES (559, 'Forceps', 1320158.09);
INSERT INTO MedicalEquipment VALUES (560, 'Stethoscope', 21118.8);
INSERT INTO MedicalEquipment VALUES (561, 'Wheelchair', 690659.53);
INSERT INTO MedicalEquipment VALUES (562, 'Wheelchair', 592864.45);
INSERT INTO MedicalEquipment VALUES (563, 'Scalpel', 1417422.97);
INSERT INTO MedicalEquipment VALUES (564, 'Pacemaker', 1252852.82);
INSERT INTO MedicalEquipment VALUES (565, 'Wheelchair', 891151.02);
INSERT INTO MedicalEquipment VALUES (566, 'Wheelchair', 1949520.27);
INSERT INTO MedicalEquipment VALUES (567, 'X-Ray', 301529.43);
INSERT INTO MedicalEquipment VALUES (568, 'X-Ray', 846742.74);
INSERT INTO MedicalEquipment VALUES (569, 'Scalpel', 1585427.05);
INSERT INTO MedicalEquipment VALUES (570, 'Scalpel', 380464.3);
INSERT INTO MedicalEquipment VALUES (571, 'Hospital Bed', 1880122.04);
INSERT INTO MedicalEquipment VALUES (572, 'Wheelchair', 1068314.78);
INSERT INTO MedicalEquipment VALUES (573, 'Stethoscope', 746357.29);
INSERT INTO MedicalEquipment VALUES (574, 'Forceps', 800566.24);
INSERT INTO MedicalEquipment VALUES (575, 'Pacemaker', 1578970.03);
INSERT INTO MedicalEquipment VALUES (576, 'Surgical Table', 430195.07);
INSERT INTO MedicalEquipment VALUES (577, 'Hospital Bed', 1660284.21);
INSERT INTO MedicalEquipment VALUES (578, 'Pacemaker', 999944.6);
INSERT INTO MedicalEquipment VALUES (579, 'Surgical Table', 1392786.71);
INSERT INTO MedicalEquipment VALUES (580, 'Lift', 1504576.42);
INSERT INTO MedicalEquipment VALUES (581, 'Lift', 568378.2);
INSERT INTO MedicalEquipment VALUES (582, 'Hospital Bed', 1582884.86);
INSERT INTO MedicalEquipment VALUES (583, 'Wheelchair', 801758.54);
INSERT INTO MedicalEquipment VALUES (584, 'Defibrillator', 1639328.53);
INSERT INTO MedicalEquipment VALUES (585, 'Lift', 237148.48);
INSERT INTO MedicalEquipment VALUES (586, 'Pacemaker', 563028.9);
INSERT INTO MedicalEquipment VALUES (587, 'X-Ray', 606192.83);
INSERT INTO MedicalEquipment VALUES (588, 'Hospital Bed', 179647.58);
INSERT INTO MedicalEquipment VALUES (589, 'Lift', 992332.52);
INSERT INTO MedicalEquipment VALUES (590, 'Surgical Table', 858602.01);
INSERT INTO MedicalEquipment VALUES (591, 'Pacemaker', 1080177.21);
INSERT INTO MedicalEquipment VALUES (592, 'Surgical Table', 1098704.98);
INSERT INTO MedicalEquipment VALUES (593, 'Scalpel', 123371.14);
INSERT INTO MedicalEquipment VALUES (594, 'Surgical Table', 514442.31);
INSERT INTO MedicalEquipment VALUES (595, 'Hospital Bed', 752101.19);
INSERT INTO MedicalEquipment VALUES (596, 'Defibrillator', 301564.88);
INSERT INTO MedicalEquipment VALUES (597, 'Forceps', 1506582.1);
INSERT INTO MedicalEquipment VALUES (598, 'Scalpel', 1116893.8);
INSERT INTO MedicalEquipment VALUES (599, 'MRI Machine', 1590621.63);
INSERT INTO MedicalEquipment VALUES (600, 'Scalpel', 287797.46);
INSERT INTO MedicalEquipment VALUES (601, 'MRI Machine', 1798873.79);
INSERT INTO MedicalEquipment VALUES (602, 'Stethoscope', 1576116.72);
INSERT INTO MedicalEquipment VALUES (603, 'Hospital Bed', 409153.25);
INSERT INTO MedicalEquipment VALUES (604, 'Lift', 1349218.1);
INSERT INTO MedicalEquipment VALUES (605, 'Lift', 1614189.84);
INSERT INTO MedicalEquipment VALUES (606, 'Forceps', 215159.6);
INSERT INTO MedicalEquipment VALUES (607, 'Pacemaker', 894940.36);
INSERT INTO MedicalEquipment VALUES (608, 'Wheelchair', 23933.76);
INSERT INTO MedicalEquipment VALUES (609, 'Defibrillator', 1726247.51);
INSERT INTO MedicalEquipment VALUES (610, 'X-Ray', 1936522.35);
INSERT INTO MedicalEquipment VALUES (611, 'MRI Machine', 1830910.34);
INSERT INTO MedicalEquipment VALUES (612, 'Heart Rate Monitor', 140475.21);
INSERT INTO MedicalEquipment VALUES (613, 'MRI Machine', 1527726.53);
INSERT INTO MedicalEquipment VALUES (614, 'Scalpel', 1130825.21);
INSERT INTO MedicalEquipment VALUES (615, 'MRI Machine', 795026.22);
INSERT INTO MedicalEquipment VALUES (616, 'Stethoscope', 1461638.21);
INSERT INTO MedicalEquipment VALUES (617, 'X-Ray', 1728780.2);
INSERT INTO MedicalEquipment VALUES (618, 'Heart Rate Monitor', 942776.73);
INSERT INTO MedicalEquipment VALUES (619, 'Surgical Table', 907646.06);
INSERT INTO MedicalEquipment VALUES (620, 'Lift', 1670448.36);
INSERT INTO MedicalEquipment VALUES (621, 'Scalpel', 1592778.57);
INSERT INTO MedicalEquipment VALUES (622, 'Stethoscope', 1533613.05);
INSERT INTO MedicalEquipment VALUES (623, 'Heart Rate Monitor', 1043455.63);
INSERT INTO MedicalEquipment VALUES (624, 'Surgical Table', 1241801.74);
INSERT INTO MedicalEquipment VALUES (625, 'Hospital Bed', 883151.89);
INSERT INTO MedicalEquipment VALUES (626, 'MRI Machine', 53753.96);
INSERT INTO MedicalEquipment VALUES (627, 'X-Ray', 1330175.51);
INSERT INTO MedicalEquipment VALUES (628, 'Scalpel', 1604619.77);
INSERT INTO MedicalEquipment VALUES (629, 'Defibrillator', 135484.92);
INSERT INTO MedicalEquipment VALUES (630, 'MRI Machine', 1184191.35);
INSERT INTO MedicalEquipment VALUES (631, 'Stethoscope', 1729647.32);
INSERT INTO MedicalEquipment VALUES (632, 'Hospital Bed', 922486.82);
INSERT INTO MedicalEquipment VALUES (633, 'Pacemaker', 1870514.04);
INSERT INTO MedicalEquipment VALUES (634, 'Heart Rate Monitor', 1311995.88);
INSERT INTO MedicalEquipment VALUES (635, 'Wheelchair', 28680.18);
INSERT INTO MedicalEquipment VALUES (636, 'Surgical Table', 806620.57);
INSERT INTO MedicalEquipment VALUES (637, 'Stethoscope', 1928805.88);
INSERT INTO MedicalEquipment VALUES (638, 'Lift', 1668289.78);
INSERT INTO MedicalEquipment VALUES (639, 'Stethoscope', 662487.37);
INSERT INTO MedicalEquipment VALUES (640, 'Pacemaker', 1325647.45);
INSERT INTO MedicalEquipment VALUES (641, 'Scalpel', 232841.88);
INSERT INTO MedicalEquipment VALUES (642, 'Forceps', 92397.63);
INSERT INTO MedicalEquipment VALUES (643, 'Stethoscope', 1453963.15);
INSERT INTO MedicalEquipment VALUES (644, 'Defibrillator', 786031.27);
INSERT INTO MedicalEquipment VALUES (645, 'Pacemaker', 1974601.05);
INSERT INTO MedicalEquipment VALUES (646, 'Hospital Bed', 1473943.3);
INSERT INTO MedicalEquipment VALUES (647, 'Heart Rate Monitor', 1568941.48);
INSERT INTO MedicalEquipment VALUES (648, 'Surgical Table', 931620.52);
INSERT INTO MedicalEquipment VALUES (649, 'Wheelchair', 1477626.39);
INSERT INTO MedicalEquipment VALUES (650, 'Scalpel', 1384018.92);
INSERT INTO MedicalEquipment VALUES (651, 'Wheelchair', 774442.9);
INSERT INTO MedicalEquipment VALUES (652, 'Stethoscope', 1447946.69);
INSERT INTO MedicalEquipment VALUES (653, 'Hospital Bed', 1793969.54);
INSERT INTO MedicalEquipment VALUES (654, 'X-Ray', 1918901.58);
INSERT INTO MedicalEquipment VALUES (655, 'Scalpel', 1430551.24);
INSERT INTO MedicalEquipment VALUES (656, 'Forceps', 1954019.44);
INSERT INTO MedicalEquipment VALUES (657, 'Pacemaker', 1479445.08);
INSERT INTO MedicalEquipment VALUES (658, 'Defibrillator', 1365744.79);
INSERT INTO MedicalEquipment VALUES (659, 'Surgical Table', 555969.78);
INSERT INTO MedicalEquipment VALUES (660, 'Wheelchair', 1027124.31);
INSERT INTO MedicalEquipment VALUES (661, 'Forceps', 1923980.5);
INSERT INTO MedicalEquipment VALUES (662, 'Hospital Bed', 1937115.94);
INSERT INTO MedicalEquipment VALUES (663, 'Heart Rate Monitor', 1775885.91);
INSERT INTO MedicalEquipment VALUES (664, 'Lift', 229035.35);
INSERT INTO MedicalEquipment VALUES (665, 'Wheelchair', 120227.17);
INSERT INTO MedicalEquipment VALUES (666, 'Heart Rate Monitor', 530295.41);
INSERT INTO MedicalEquipment VALUES (667, 'Hospital Bed', 1997724.8);
INSERT INTO MedicalEquipment VALUES (668, 'Defibrillator', 589409.16);
INSERT INTO MedicalEquipment VALUES (669, 'Heart Rate Monitor', 814595.76);
INSERT INTO MedicalEquipment VALUES (670, 'Lift', 231191.01);
INSERT INTO MedicalEquipment VALUES (671, 'Stethoscope', 1251396.26);
INSERT INTO MedicalEquipment VALUES (672, 'Defibrillator', 1549827.47);
INSERT INTO MedicalEquipment VALUES (673, 'Defibrillator', 615903.7);
INSERT INTO MedicalEquipment VALUES (674, 'Wheelchair', 1116760.11);
INSERT INTO MedicalEquipment VALUES (675, 'Forceps', 293033.71);
INSERT INTO MedicalEquipment VALUES (676, 'Surgical Table', 1983803.18);
INSERT INTO MedicalEquipment VALUES (677, 'X-Ray', 821063.31);
INSERT INTO MedicalEquipment VALUES (678, 'Pacemaker', 1798763.19);
INSERT INTO MedicalEquipment VALUES (679, 'Lift', 1289391.61);
INSERT INTO MedicalEquipment VALUES (680, 'Surgical Table', 1581958.03);
INSERT INTO MedicalEquipment VALUES (681, 'MRI Machine', 1474407.28);
INSERT INTO MedicalEquipment VALUES (682, 'Defibrillator', 108904.68);
INSERT INTO MedicalEquipment VALUES (683, 'MRI Machine', 184606.29);
INSERT INTO MedicalEquipment VALUES (684, 'Stethoscope', 627923.43);
INSERT INTO MedicalEquipment VALUES (685, 'Stethoscope', 488133.54);
INSERT INTO MedicalEquipment VALUES (686, 'X-Ray', 342043.0);
INSERT INTO MedicalEquipment VALUES (687, 'Forceps', 1194636.94);
INSERT INTO MedicalEquipment VALUES (688, 'Hospital Bed', 989102.42);
INSERT INTO MedicalEquipment VALUES (689, 'Pacemaker', 529362.12);
INSERT INTO MedicalEquipment VALUES (690, 'Scalpel', 1555876.62);
INSERT INTO MedicalEquipment VALUES (691, 'MRI Machine', 287084.21);
INSERT INTO MedicalEquipment VALUES (692, 'Stethoscope', 1008266.24);
INSERT INTO MedicalEquipment VALUES (693, 'Scalpel', 820026.95);
INSERT INTO MedicalEquipment VALUES (694, 'Scalpel', 565133.41);
INSERT INTO MedicalEquipment VALUES (695, 'Heart Rate Monitor', 1468941.42);
INSERT INTO MedicalEquipment VALUES (696, 'Lift', 1904541.45);
INSERT INTO MedicalEquipment VALUES (697, 'Forceps', 995279.4);
INSERT INTO MedicalEquipment VALUES (698, 'MRI Machine', 475508.58);
INSERT INTO MedicalEquipment VALUES (699, 'Lift', 1244456.58);
INSERT INTO MedicalEquipment VALUES (700, 'Hospital Bed', 1280771.82);
INSERT INTO MedicalEquipment VALUES (701, 'Scalpel', 1732654.6);
INSERT INTO MedicalEquipment VALUES (702, 'Hospital Bed', 870911.53);
INSERT INTO MedicalEquipment VALUES (703, 'Heart Rate Monitor', 694784.72);
INSERT INTO MedicalEquipment VALUES (704, 'Defibrillator', 380515.05);
INSERT INTO MedicalEquipment VALUES (705, 'Lift', 1990448.2);
INSERT INTO MedicalEquipment VALUES (706, 'Pacemaker', 1094893.43);
INSERT INTO MedicalEquipment VALUES (707, 'X-Ray', 1294477.61);
INSERT INTO MedicalEquipment VALUES (708, 'MRI Machine', 1851756.84);
INSERT INTO MedicalEquipment VALUES (709, 'Scalpel', 1382770.81);
INSERT INTO MedicalEquipment VALUES (710, 'Hospital Bed', 1462035.17);
INSERT INTO MedicalEquipment VALUES (711, 'Wheelchair', 1797502.75);
INSERT INTO MedicalEquipment VALUES (712, 'MRI Machine', 1946894.65);
INSERT INTO MedicalEquipment VALUES (713, 'Forceps', 471487.14);
INSERT INTO MedicalEquipment VALUES (714, 'Wheelchair', 689481.88);
INSERT INTO MedicalEquipment VALUES (715, 'Defibrillator', 1309294.56);
INSERT INTO MedicalEquipment VALUES (716, 'X-Ray', 1323858.89);
INSERT INTO MedicalEquipment VALUES (717, 'Surgical Table', 1569209.19);
INSERT INTO MedicalEquipment VALUES (718, 'Defibrillator', 1355711.9);
INSERT INTO MedicalEquipment VALUES (719, 'Surgical Table', 7729.28);
INSERT INTO MedicalEquipment VALUES (720, 'Hospital Bed', 1914904.15);
INSERT INTO MedicalEquipment VALUES (721, 'MRI Machine', 25097.54);
INSERT INTO MedicalEquipment VALUES (722, 'MRI Machine', 775426.23);
INSERT INTO MedicalEquipment VALUES (723, 'Pacemaker', 1883470.68);
INSERT INTO MedicalEquipment VALUES (724, 'Surgical Table', 1688710.74);
INSERT INTO MedicalEquipment VALUES (725, 'MRI Machine', 902431.01);
INSERT INTO MedicalEquipment VALUES (726, 'MRI Machine', 319242.86);
INSERT INTO MedicalEquipment VALUES (727, 'Pacemaker', 1341964.77);
INSERT INTO MedicalEquipment VALUES (728, 'MRI Machine', 555196.13);
